"","Spectra from Area #1-Spectrum","Spectra from Area #1-Background","Spectra from Area #1-Modeled","Spectra from Area #1-Residual"
"Energy","Intensity","Intensity","Intensity","Intensity"
"eV","Counts","Counts","Counts","Counts"
4.025000e+02,4.460000e+02,1.378631e+02,3.332092e+02,1.127908e+02
4.075000e+02,3.990000e+02,1.389236e+02,3.168428e+02,8.215723e+01
4.125000e+02,3.270000e+02,1.399841e+02,3.001029e+02,2.689709e+01
4.175000e+02,3.370000e+02,1.410446e+02,2.844701e+02,5.252988e+01
4.225000e+02,2.770000e+02,1.421051e+02,2.706906e+02,6.309357e+00
4.275000e+02,2.910000e+02,1.431656e+02,2.598669e+02,3.113306e+01
4.325000e+02,2.630000e+02,1.442261e+02,2.531054e+02,9.894562e+00
4.375000e+02,2.820000e+02,1.452865e+02,2.515106e+02,3.048941e+01
4.425000e+02,2.370000e+02,1.463470e+02,2.561636e+02,-1.916360e+01
4.475000e+02,2.350000e+02,1.474075e+02,2.681438e+02,-3.314377e+01
4.525000e+02,2.340000e+02,1.484680e+02,2.884058e+02,-5.440579e+01
4.575000e+02,2.840000e+02,1.495285e+02,3.177685e+02,-3.376849e+01
4.625000e+02,3.030000e+02,1.505890e+02,3.567994e+02,-5.379938e+01
4.675000e+02,3.370000e+02,1.516495e+02,4.056970e+02,-6.869702e+01
4.725000e+02,3.640000e+02,1.527099e+02,4.641649e+02,-1.001649e+02
4.775000e+02,4.160000e+02,1.537704e+02,5.312958e+02,-1.152958e+02
4.825000e+02,4.670000e+02,1.548309e+02,6.054890e+02,-1.384890e+02
4.875000e+02,5.890000e+02,1.558914e+02,6.844221e+02,-9.542206e+01
4.925000e+02,7.040000e+02,1.569519e+02,7.650990e+02,-6.109900e+01
4.975000e+02,8.440000e+02,1.580124e+02,8.439822e+02,1.782227e-02
5.025000e+02,9.640000e+02,1.590729e+02,9.171606e+02,4.683942e+01
5.075000e+02,1.109000e+03,1.601333e+02,9.808556e+02,1.281444e+02
5.125000e+02,1.193000e+03,1.611938e+02,1.031426e+03,1.615740e+02
5.175000e+02,1.288000e+03,1.622543e+02,1.065813e+03,2.221870e+02
5.225000e+02,1.297000e+03,1.633148e+02,1.081977e+03,2.150229e+02
5.275000e+02,1.207000e+03,1.643753e+02,1.078949e+03,1.280509e+02
5.325000e+02,1.243000e+03,1.654358e+02,1.056975e+03,1.860251e+02
5.375000e+02,1.089000e+03,1.664963e+02,1.017560e+03,7.143964e+01
5.425000e+02,9.400000e+02,1.675567e+02,9.631675e+02,-2.316754e+01
5.475000e+02,8.410000e+02,1.686172e+02,8.971058e+02,-5.610577e+01
5.525000e+02,6.770000e+02,1.696777e+02,8.232047e+02,-1.462047e+02
5.575000e+02,5.640000e+02,1.707382e+02,7.453909e+02,-1.813909e+02
5.625000e+02,4.200000e+02,1.717987e+02,6.674854e+02,-2.474854e+02
5.675000e+02,3.420000e+02,1.728592e+02,5.928690e+02,-2.508690e+02
5.725000e+02,2.710000e+02,1.739197e+02,5.243077e+02,-2.533077e+02
5.775000e+02,2.200000e+02,1.749801e+02,4.638461e+02,-2.438461e+02
5.825000e+02,2.140000e+02,1.760406e+02,4.127844e+02,-1.987844e+02
5.875000e+02,1.940000e+02,1.771011e+02,3.717221e+02,-1.777221e+02
5.925000e+02,1.900000e+02,1.781616e+02,3.406513e+02,-1.506513e+02
5.975000e+02,1.850000e+02,1.792221e+02,3.190747e+02,-1.340747e+02
6.025000e+02,1.710000e+02,1.802826e+02,3.061317e+02,-1.351317e+02
6.075000e+02,2.060000e+02,1.813431e+02,3.007145e+02,-9.471448e+01
6.125000e+02,1.520000e+02,1.824035e+02,3.015738e+02,-1.495738e+02
6.175000e+02,1.600000e+02,1.834640e+02,3.073904e+02,-1.473904e+02
